rating,name,year,bgg_id,mechanic,designer,complexity,game_type,min_players,max_players,min_age,novelty,log_novelty
5.51,Hamburger Hill,1990,8405,"('2026', '2070', '2072', '2676', '2850', '2855')","['1718', '1747', '2868']",2.75,4664,2.0,2.0,12.0,,
5.9,1835,1990,422,"('2005', '2012', '2081')","['197', '58']",3.99,5497,3.0,7.0,16.0,,
5.5,Splat!,1990,3914,"('2035',)",['1951'],1.0,"4665,5499",2.0,4.0,6.0,,
5.74,Silent Death,1990,3895,"('2015', '2026', '2070', '2072', '2676')",['410'],2.76,4664,2.0,8.0,10.0,,
5.49,The Disneyland Game,1990,5108,"('2035',)",['3233'],1.0,4665,2.0,4.0,5.0,,
6.04,Daytona 500,1990,631,"('2012', '2040', '2676', '2876')",['7'],1.78,"5497,5499",2.0,4.0,10.0,,
5.66,Airlines,1990,43,"('2005', '2081', '2910')",['9'],2.42,5497,2.0,6.0,12.0,,
5.61,Alias,1990,3818,"('2019', '2073', '2078', '2876')",['9771'],1.25,5498,4.0,12.0,7.0,,
5.56,Palabra,1990,3771,"('2004',)",['27863'],2.0,,2.0,6.0,12.0,,
5.52,Marching Through Georgia,1990,12629,"('2046', '2070', '2072', '2855', '2863', '2947', '2967')",['65'],2.83,4664,2.0,2.0,12.0,,
5.59,Risk & Castle Risk,1990,154432,"('2072',)","['1047', '116', '148']",2.21,,2.0,6.0,10.0,,
5.62,Where's Bob's Hat?,1990,661,"('2009',)",['9'],1.59,5499,2.0,5.0,10.0,,
5.55,The World at War,1990,3618,"('2019', '2021', '2046', '2072', '2080', '2853', '2863')","['1467', '1468']",3.29,4664,2.0,5.0,12.0,,
5.61,Mighty Empires,1990,52,"('2026',)","['39', '40']",2.61,4664,2.0,3.0,14.0,,
5.53,Flußpiraten,1990,561,"('2003', '2020')","['254', '267']",2.1,,3.0,6.0,9.0,,
5.51,Robin Hood,1990,3569,"('2047', '2078')",['217'],1.4,,2.0,6.0,8.0,,
5.49,Burger Battle,1990,5530,"('2041',)",['316'],1.25,,2.0,4.0,8.0,,
5.49,Fantasy,1990,3501,"('2007',)",['839'],2.0,,3.0,6.0,,,
5.52,SS Amerika,1990,11766,"('2026',)",['337'],3.67,4664,2.0,4.0,12.0,,
5.47,The Game of Maze,1990,3447,"('2035',)","['1151', '1152']",1.0,,2.0,4.0,10.0,,
5.48,Trivial Pursuit: 1960's Edition,1990,5661,"('2035',)","['2052', '2053']",1.67,,2.0,6.0,12.0,,
5.56,"Air Bridge to Victory: Operation Market-Garden, 1944",1990,5700,"('2026', '2072')",['1587'],3.36,4664,2.0,4.0,12.0,,
5.52,Shattered States,1990,5723,"('2046',)","['1393', '2123']",2.29,4664,2.0,6.0,,,
5.59,Ogre / G.E.V.,1990,173270,"('2015', '2026', '2070', '2072', '2676', '2822', '2855', '2897', '2947')",['22'],2.0,"4664,5496",1.0,3.0,10.0,,
5.52,Black Gold (Texas Tea),1990,11399,"('2026',)",['1747'],1.6,4664,2.0,2.0,12.0,,
5.53,Fantasy Warriors,1990,6487,"('2072',)",['2320'],3.5,4664,2.0,2.0,10.0,,
5.5,Römer,1990,2178,"('2009',)",['905'],1.8,,2.0,4.0,12.0,,
5.54,Ace of Aces: Jet Eagles,1990,1991,"('2020', '2055', '2070')",['591'],2.0,4664,2.0,2.0,10.0,,
5.49,Tutankhamen's Revenge,1990,1998,"('2047', '2661')","['579', '580']",1.35,4665,2.0,6.0,8.0,,
5.53,Sunrise of Victory: The 1942 Campaign in Russia,1990,12562,"('2026', '2070', '2072', '2855', '2947')",['1747'],2.57,4664,2.0,2.0,12.0,,
5.54,Days of Decision,1990,8666,"('2020', '2021', '2026', '2070', '2072')",['296'],3.8,4664,2.0,7.0,12.0,,
5.71,"3rd Fleet: Modern Naval Combat in the North Pacific, Caribbean, and Atlantic Oceans",1990,4921,"('2026', '2070', '2072')",['673'],3.61,4664,2.0,4.0,12.0,,
5.53,Ironclads and Ether Flyers,1990,17143,"('2055', '2072', '2822', '2944', '2949', '2975')",['335'],2.67,4664,2.0,2.0,12.0,,
6.08,Gang of Four,1990,3085,"('2004', '2009', '2040', '2980')",['1836'],1.87,5499,3.0,4.0,8.0,,
5.51,Bladestorm,1990,12385,"('2011', '2046', '2070', '2072', '2685', '2975')","['63', '805']",2.33,4664,2.0,6.0,14.0,,
5.51,Tabaijana: Flucht von der Feuerinsel,1990,11915,"('2023',)",['7'],1.5,,2.0,5.0,5.0,,
5.67,Brigade Fire and Fury: Wargaming the Civil War with Miniatures,1990,12355,"('2070', '2072', '2949')",['7916'],3.08,4664,2.0,12.0,12.0,,
5.61,Balkan Front,1990,5829,"('2026',)",['373'],3.86,4664,2.0,3.0,12.0,,
5.51,Pirates' Gold,1990,6466,"('2007', '2035', '2072')",['310'],1.0,4665,2.0,4.0,6.0,,
5.66,Express,1990,379,"('2004', '2686')",['103'],1.68,5499,2.0,6.0,8.0,,
5.52,Samurai Sunset,1990,6042,"('2026',)",['337'],2.83,4664,2.0,2.0,12.0,,
5.56,"NATO, Nukes & Nazis",1990,5958,"('2026', '2070', '2072', '2947')","['1747', '337']",3.8,4664,2.0,2.0,12.0,,
5.55,Tannenberg 1914,1990,26620,"('2026',)",['3073'],3.45,4664,2.0,3.0,,,
5.48,Komandosi,1990,33906,"('2007', '2035')",['9970'],2.09,,2.0,6.0,,,
5.53,Vanished!,1990,3182,"('2004', '2014', '2047')",['951'],1.52,"5497,5499",2.0,6.0,16.0,,
5.6,Lion of Ethiopia,1990,5991,"('2026',)",['2197'],2.25,4664,2.0,2.0,12.0,,
5.51,"Baton Rouge: Street Fighting in the Louisiana Capital, August 5, 1862",1990,4680,"('2026', '2070', '2072', '2676')",['135'],3.27,4664,2.0,2.0,12.0,,
5.52,Terra Turrium,1990,790,"('2001', '2011')",['7'],2.22,4666,2.0,4.0,12.0,,
5.47,On Assignment with National Geographic,1990,6210,"('2041',)",['2232'],1.36,,2.0,4.0,8.0,,
5.81,Igel Ärgern,1990,95,"('2035', '2676', '2876')","['74', '75']",1.38,5499,2.0,6.0,8.0,,
5.49,Iron Cross,1990,6006,"('2026', '2070', '2072', '2676', '2822', '2947', '2975')",['2198'],2.7,4664,2.0,2.0,12.0,,
5.57,The Best of Dragon Magazine Games,1990,5811,"('2026', '2035', '2046', '2055', '2070', '2072', '2078', '2676', '2685', '2940', '2947')","['1166', '1195', '1196', '1909', '46']",2.18,"5496,5497",2.0,6.0,10.0,,
5.54,Dragon Noir 1: L'Exil,1990,18330,"('2011', '2026')",['80'],2.5,4664,2.0,7.0,12.0,,
5.45,Borodino: Doomed Victory,1990,6020,"('2026', '2070', '2072')",['1877'],3.2,4664,2.0,2.0,12.0,,
5.97,Unanimo,1990,12157,"('2055', '2883')","['1576', '1577', '1786']",1.15,5498,3.0,8.0,10.0,,
5.93,De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,1990,299,"('2001', '2011', '2070', '2072', '2949', '2975')","['1668', '1669', '2014']",2.8,4664,2.0,6.0,14.0,,
5.51,Amnesia,1990,12539,"('2008', '2028')","['1002', '105296']",1.0,,2.0,6.0,14.0,,
5.67,Tyranno Ex,1990,719,"('2041', '2072')",['1'],2.35,5497,2.0,4.0,12.0,,
5.52,The Journeys of Paul,1990,5725,"('2008', '2040', '2046', '2850', '2876')",['913'],1.62,5499,1.0,6.0,10.0,,
5.48,1862,1990,4456,"('2026', '2070', '2072', '2850')","['135', '1774', '2282']",2.3,4664,2.0,2.0,12.0,,
5.87,Star Fleet Battles: Captain's Edition Basic Set,1990,29663,"('2026', '2070', '2072', '2676', '2822', '2947')",['675'],4.29,4664,1.0,6.0,12.0,,
5.5,Schoko-Hexe,1990,18117,"('2004', '2014', '2661')","['579', '580']",1.09,,2.0,6.0,5.0,,
5.55,Shell Shock!,1990,2082,"('2026',)",['680'],3.18,4664,2.0,4.0,12.0,,
5.53,Asterix: Das Kartenspiel,1990,430,"('2020',)",['166'],1.13,,2.0,5.0,8.0,,
5.61,Advanced Space Crusade,1990,8630,"('2002', '2011', '2072')","['2945', '712']",2.7,5496,2.0,2.0,12.0,,
5.52,New Orleans Big Band,1990,933,"('2004', '2008')",['430'],1.8,,3.0,6.0,10.0,,
5.57,Wrasslin',1990,1579,"('2015', '2040', '2070')",['361'],1.58,5496,2.0,16.0,10.0,,
5.54,1847: Pfalz,1990,23818,"('2002', '2005')",['7019'],3.83,5497,3.0,5.0,14.0,,
5.61,Zatre,1990,2938,"('2002',)",['1205'],2.04,4666,2.0,6.0,8.0,,
5.53,"Operation Shoestring: The Guadalcanal Campaign, 1942",1990,8056,"('2026', '2070', '2072', '2676', '2855', '2947', '2974')",['1587'],3.47,4664,1.0,4.0,14.0,,
5.63,Halli Galli,1990,2944,"('2060', '2685')",['1210'],1.02,"4665,5498",2.0,6.0,6.0,,
5.5,Katego,1990,11508,"('2072',)",['2'],1.06,5499,2.0,4.0,8.0,,
5.34,Pretty Pretty Princess,1990,6549,"('2004', '2035')",['98591'],1.04,4665,2.0,4.0,5.0,,
5.54,Objective: Schmidt,1990,11756,"('2026', '2070', '2072')","['1961', '406']",3.62,4664,2.0,2.0,15.0,,
5.53,Harpoon: Captain's Edition,1990,6503,"('2026', '2070')",['2185'],2.43,4664,2.0,4.0,10.0,,
5.54,Sideshow: The Campaign for German East Africa 1914-1918,1990,3054,"('2026', '2072')",['135'],2.83,4664,2.0,2.0,12.0,,
5.48,Arabian Nightmare: The Kuwait War,1990,2799,"('2026', '2070', '2072', '2676', '2822', '2855')","['1081', '1146', '440']",3.63,4664,2.0,3.0,12.0,,
6.22,Eurorails,1990,157,"('2007', '2010', '2026', '2081', '2883')","['103', '5945', '93617']",2.74,5497,2.0,6.0,10.0,,
5.49,Heuchel und Meuchel,1990,2840,"('2002',)",['154'],1.5,,3.0,6.0,12.0,,
5.52,Force Eagle's War,1990,7129,"('2026',)",['406'],3.43,4664,1.0,2.0,12.0,,
5.53,New Tactical Games with Dice and Cards,1990,2704,"('2005', '2012', '2013', '2020', '2023', '2040', '2055', '2072', '2661')",['2'],1.8,5499,2.0,6.0,8.0,,
5.52,"Krim: von Manstein's Battles for Sevastopol, 1941-1942",1990,11129,"('2026',)",['1747'],2.44,4664,2.0,2.0,12.0,,
5.52,Welfen und Staufer,1990,7526,"('2017', '2046', '2072')",['274'],2.91,4664,2.0,2.0,16.0,,
5.53,Battlefield: Europe,1990,7650,"('2011', '2026', '2070', '2072', '2676', '2822', '2850', '2855', '2947', '2975')",['335'],2.5,4664,2.0,2.0,12.0,,
5.5,Solar Trader,1990,7808,"('2008', '2035', '2072')",['3793'],1.5,,2.0,6.0,12.0,,
5.51,Les Aigles,1990,22990,"('2016', '2020', '2070', '2072', '2949', '2975')","['1820', '6925']",3.5,4664,2.0,6.0,12.0,,
5.55,Zargos,1990,1066,"('2015', '2046', '2072')","['501', '502', '80']",2.69,,2.0,6.0,12.0,,
5.65,Trumpet,1990,352,"('2009',)",['206'],1.44,,2.0,6.0,9.0,,
5.49,Doctor Faust,1990,2492,"('2001',)",['94'],1.57,,2.0,2.0,12.0,,
5.59,The BattleTech Compendium,1990,48863,"('2015', '2026', '2070', '2072', '2676')","['9053', '926']",3.75,4664,2.0,6.0,8.0,,
5.54,Mississippi Banzai,1990,7980,"('2026', '2072')",['1747'],2.11,4664,2.0,2.0,12.0,,
5.57,"Silver Bayonet: The First Team in Vietnam, 1965",1990,7994,"('2026', '2070', '2072')",['1587'],3.0,4664,2.0,2.0,12.0,,
5.47,Myth Fortunes,1990,2100,"('2035',)","['11791', '11792', '642', '869', '870', '871', '883']",1.86,"5496,5499",2.0,6.0,10.0,,
