"Variable","CoxPH_Coefficient_novelty","CoxPH_PValue_novelty","CoxPH_Significance_novelty","OLS_Coefficient_novelty","OLS_PValue_novelty","OLS_Significance_novelty","Same_Direction_novelty","Magnitude_Sum_novelty","CoxPH_Coefficient_usefulness","CoxPH_PValue_usefulness","CoxPH_Significance_usefulness","OLS_Coefficient_usefulness","OLS_PValue_usefulness","OLS_Significance_usefulness","Same_Direction_usefulness","Magnitude_Sum_usefulness"
"exact_repetition",-0.007,0.31900291616475,"",-0.037,0.363556934085257,"",TRUE,0.0445243659320365,-0.02,0.00717360765875798,"**",0.001,0.91273114377571,"",FALSE,0.0209908483781466
"gender_avg",-0.02,0.251411904226453,"",0.045,0.190387530315625,"",FALSE,0.065192389248742,-0.051,0.00218176318839967,"**",0.009,0.245095956131477,"",FALSE,0.060301187250005
"gender_disparity",-0.005,0.784511159612516,"",-0.077,0.0260304454023769,"*",TRUE,0.0825693959139448,-0.021,0.260408263762756,"",-0.009,0.254411936863021,"",TRUE,0.029937740790719
"mechanic_size",NA,NA,"",1.469,3.44003622015546e-141,"***",NA,NA,NA,NA,"",0.183,3.36778713733244e-45,"***",NA,NA
"mechanic_sub_rep_1",0.596,8.9454304055429e-104,"***",-0.841,7.80206273950228e-39,"***",FALSE,1.4363960853059,0.609,1.0623172878756e-97,"***",-0.116,4.60968495794096e-15,"***",FALSE,0.725846355189776
"mechanic_sub_rep_2",0.145,8.16349414539908e-17,"***",0.256,0.000167983801334768,"***",TRUE,0.40071239562371,0.156,1.49023685878991e-19,"***",0.027,0.0830992212226769,"+",TRUE,0.183753913323028
"mechanic_sub_rep_3",0.014,0.212754982414014,"",-0.18,0.000757830187179485,"***",FALSE,0.194298495564371,0.013,0.2487348208749,"",-0.032,0.00946851501851618,"**",FALSE,0.0453590569328347
"mechanic_sub_rep_4",0.004,0.639575237993032,"",0.041,0.395723449773189,"",TRUE,0.0457208258119559,0.006,0.524354844538584,"",-0.019,0.101093567298701,"",FALSE,0.0248428013977411
"mechanic_sub_rep_5",0.004,0.540789604976456,"",-0.006,0.876272726637743,"",FALSE,0.0106853642999475,0.006,0.357737085554081,"",-0.004,0.693680738812941,"",FALSE,0.0102499776792846
"mechanics_exact_repetition",-0.124,6.79156170595711e-09,"***",0.486,4.93230878157213e-15,"***",FALSE,0.610050935521999,-0.122,2.30510938452973e-08,"***",0.081,1.85548808620437e-08,"***",FALSE,0.20264991646034
"performance_disparity",0.038,0.152766139936198,"",-0.098,0.118668180950231,"",FALSE,0.13584104189594,0.035,0.233464592386935,"",-0.003,0.859517449097689,"",FALSE,0.0376529513069156
"portfolio_size_avg",0.15,1.47534553791595e-05,"***",0.059,0.358640830735974,"",TRUE,0.209508281114252,0.185,4.71145204765075e-08,"***",-0.002,0.888275208623851,"",FALSE,0.186887961570062
"portfolio_size_heterogeneity",-0.004,0.907838944356727,"",-0.059,0.353804184127647,"",TRUE,0.0631642063606163,0.001,0.982259847588601,"",-0.008,0.586639450357463,"",FALSE,0.00886068836625394
"prior_success_1",-0.095,0.00038264747087055,"***",0.647,1.86222346678975e-28,"***",FALSE,0.74213413969386,0.122,9.04131762987175e-07,"***",0.193,2.35237014415302e-41,"***",TRUE,0.315542522885857
"prior_success_2",0.191,5.17987762723868e-28,"***",-0.035,0.648266381468637,"",FALSE,0.225976646847244,0.153,2.3592870335923e-19,"***",0.049,0.00665060464662369,"**",TRUE,0.201567752788638
"prior_success_3",-0.051,1.07878364327818e-05,"***",0.177,0.00488189431212105,"**",FALSE,0.227197854174012,-0.025,0.0133993270684614,"*",-0.003,0.831201507119171,"",TRUE,0.0278615369527373
"prior_success_4",0.029,0.15564157216877,"",0.057,0.249027430080164,"",TRUE,0.0858458465409882,0.032,0.0887651177215489,"+",0,0.997887431342113,"",TRUE,0.0319989787298254
"prior_success_exact",0.01,0.545030300400861,"",0.084,0.229296072220898,"",TRUE,0.0936864598345901,-0.044,0.00541955382389628,"**",-0.001,0.938410703870167,"",TRUE,0.0449355209965499
"team_closure",-0.157,8.68689480142671e-30,"***",0.186,0.00257040123380588,"**",FALSE,0.342457101122079,-0.15,1.64330749744127e-21,"***",0.017,0.23392885440059,"",FALSE,0.167085143102194
"team_exact_repetition",-0.296,7.80231500800716e-25,"***",-0.268,0.0161818205337015,"*",TRUE,0.56322742279502,-0.274,1.42790920354294e-19,"***",0.024,0.349995277680383,"",FALSE,0.298123049278929
"team_mechanic_closure",-0.071,0.00182382286284904,"**",-0.063,0.197473563183528,"",TRUE,0.134850625825623,-0.127,4.53797283571524e-06,"***",0.019,0.0976125546870518,"+",FALSE,0.145777758978827
"team_mechanic_sub_rep_1_1",0.464,1.84902136261191e-52,"***",-0.367,5.78760933449325e-05,"***",FALSE,0.831164170346936,0.483,1.92685277323245e-59,"***",-0.024,0.268785551887731,"",FALSE,0.506099230346191
"team_mechanic_sub_rep_1_2",-0.073,0.000128961510455946,"***",-0.036,0.679717434546097,"",TRUE,0.108103565097671,-0.072,7.61609155574549e-05,"***",-0.012,0.542474149446784,"",TRUE,0.0843233738561416
"team_mechanic_sub_rep_1_3",0.014,0.369945264520016,"",-0.061,0.462200076389808,"",FALSE,0.0749869286128073,0.008,0.596012194542833,"",0.011,0.559194917861483,"",TRUE,0.0190553985065282
"team_mechanic_sub_rep_2_1",-0.424,9.9413611651454e-56,"***",0.122,0.213915607865561,"",FALSE,0.54648736634646,-0.422,1.47094539594509e-56,"***",0.011,0.621114288292583,"",FALSE,0.432920174855426
"team_mechanic_sub_rep_2_2",0.026,0.129028802524918,"",-0.034,0.688485323572997,"",FALSE,0.0598214418826902,0.036,0.0326864905195373,"*",-0.007,0.73999593387053,"",FALSE,0.042040465155642
"team_mechanic_sub_rep_2_3",0.004,0.761323019079193,"",-0.004,0.95574903219709,"",FALSE,0.00883964275495552,0.012,0.388936273522168,"",-0.009,0.641055424972578,"",FALSE,0.020607122623543
"team_mechanic_sub_rep_3_1",-0.027,0.134727278591963,"",-0.113,0.228958451682983,"",TRUE,0.13942561582824,-0.049,0.00997175644295686,"**",0.018,0.40421667085065,"",FALSE,0.0667764514645618
"team_mechanic_sub_rep_3_2",0.002,0.852812477200495,"",0.125,0.0701378237916194,"+",TRUE,0.127184962797929,0.007,0.616612211300486,"",0.023,0.145056472569545,"",TRUE,0.0302060643180354
"team_mechanic_sub_rep_3_3",-0.015,0.0595931576215966,"+",-0.033,0.49977879506459,"",TRUE,0.0483029313230851,-0.025,0.00107473515751958,"**",0.013,0.256567984024241,"",FALSE,0.0380046608869453
"team_size",NA,NA,"",-0.018,0.712529144501343,"",NA,NA,NA,NA,"",0.025,0.0281953235781435,"*",NA,NA
"team_sub_rep_1",0.071,0.101803947895182,"",0.35,8.87993183047958e-05,"***",TRUE,0.420930349154523,0.035,0.470525911366884,"",0.047,0.0360932357979773,"*",TRUE,0.0814194763246289
"team_sub_rep_2",0.847,1.32080991342192e-101,"***",-0.063,0.625529241255924,"",FALSE,0.909841874060156,0.841,4.28098287100371e-91,"***",-0.083,0.00567978960900717,"**",FALSE,0.924443501814306
"team_sub_rep_3",0.191,3.36859257407835e-26,"***",-0.049,0.611936698461764,"",FALSE,0.240381176278475,0.197,7.3202711754598e-31,"***",-0.058,0.00463366706328153,"**",FALSE,0.254969817083776
"team_sub_rep_4",0.025,0.0561067034280306,"+",-0.009,0.861808041428567,"",FALSE,0.0337415812432409,0.028,0.0158173583216018,"*",0,0.965439263383747,"",FALSE,0.0283978023947317
"tenure_avg",-0.547,4.18110562617042e-80,"***",0.007,0.882404288669744,"",FALSE,0.554615466958107,-0.539,1.02836120045004e-80,"***",0.006,0.595129109428167,"",FALSE,0.545430742199789
"tenure_disparity",-0.262,8.16179064043353e-18,"***",-0.025,0.550746253225706,"",TRUE,0.286188931538439,-0.263,4.52559585738873e-19,"***",-0.015,0.125172281511288,"",TRUE,0.277513766086927
